RECDATETIME,SPECDESCSCI
2018-09-06 20:46:55,Pipistrellus pipistrellus
2018-09-06 20:46:58,Pipistrellus pipistrellus
2018-09-06 20:47:02,Pipistrellus pipistrellus
2018-09-06 20:47:04,Pipistrellus pipistrellus
2018-09-06 20:47:12,Pipistrellus pipistrellus
2018-09-06 20:47:25,Pipistrellus pipistrellus
2018-09-06 20:47:31,Pipistrellus pipistrellus
2018-09-06 20:47:33,Pipistrellus pipistrellus
2018-09-06 20:47:39,Pipistrellus pipistrellus
2018-09-06 20:47:41,Pipistrellus pipistrellus
2018-09-06 20:47:45,Pipistrellus pipistrellus
2018-09-06 20:47:51,Pipistrellus pipistrellus
2018-09-06 20:48:11,Pipistrellus pipistrellus
2018-09-06 20:48:20,Pipistrellus pipistrellus
2018-09-06 20:48:22,Pipistrellus pipistrellus
2018-09-06 20:48:24,Pipistrellus pipistrellus
2018-09-06 20:48:28,Pipistrellus pipistrellus
2018-09-06 20:48:34,Pipistrellus pipistrellus
2018-09-06 20:48:39,Pipistrellus pipistrellus
2018-09-06 20:48:45,Pipistrellus pipistrellus
2018-09-06 20:48:48,Pipistrellus pipistrellus
2018-09-06 20:48:53,Pipistrellus pipistrellus
2018-09-06 21:06:07,Pipistrellus pipistrellus
2018-09-06 21:06:13,Pipistrellus pipistrellus
2018-09-06 21:06:23,Pipistrellus pipistrellus
2018-09-06 21:06:30,Pipistrellus pipistrellus
2018-09-06 21:06:42,Pipistrellus pipistrellus
2018-09-06 21:06:50,Pipistrellus pipistrellus
2018-09-06 21:07:08,Pipistrellus pipistrellus
2018-09-06 21:07:12,Pipistrellus pipistrellus
2018-09-06 21:07:15,Pipistrellus pipistrellus
2018-09-06 21:07:18,Pipistrellus pipistrellus
2018-09-06 21:07:21,Pipistrellus pipistrellus
2018-09-06 21:07:25,Pipistrellus pipistrellus
2018-09-06 21:07:27,Pipistrellus pipistrellus
2018-09-06 21:07:31,Pipistrellus pipistrellus
2018-09-06 21:07:33,Pipistrellus pipistrellus
2018-09-06 21:07:37,Pipistrellus pipistrellus
2018-09-09 18:46:59,Pipistrellus pipistrellus
2018-09-09 18:48:55,Pipistrellus pipistrellus
2018-09-09 18:51:33,Pipistrellus pipistrellus
2018-09-09 18:52:08,Pipistrellus pipistrellus
2018-09-09 18:54:41,Pipistrellus pipistrellus
2018-09-13 18:37:46,Pipistrellus pipistrellus
2018-09-13 18:55:39,Pipistrellus pipistrellus
2018-09-13 18:56:07,Pipistrellus pipistrellus
2018-09-13 18:56:08,Pipistrellus pipistrellus
2018-09-13 18:56:42,Pipistrellus pipistrellus
2018-09-13 18:56:48,Pipistrellus pipistrellus
2018-09-13 18:59:30,Pipistrellus pipistrellus
2018-09-13 18:59:50,Pipistrellus pipistrellus
2018-09-13 18:59:54,Pipistrellus pipistrellus
2018-09-13 18:59:57,Pipistrellus pipistrellus
2018-09-13 19:00:01,Pipistrellus pipistrellus
2018-09-13 19:00:12,Pipistrellus pipistrellus
2018-09-13 19:01:07,Pipistrellus pipistrellus
2018-09-13 19:03:11,Pipistrellus pipistrellus
2018-09-13 19:03:20,Pipistrellus pipistrellus
2018-09-13 19:03:30,Pipistrellus pipistrellus
2018-09-13 19:03:52,Pipistrellus pipistrellus
2018-09-13 19:04:09,Pipistrellus pipistrellus
2018-09-13 19:04:13,Pipistrellus pipistrellus
2018-09-13 19:04:29,Pipistrellus pipistrellus
2018-09-13 19:05:14,Pipistrellus pipistrellus
2018-09-13 19:06:22,Pipistrellus pipistrellus
2018-09-13 19:06:35,Pipistrellus pipistrellus
2018-09-13 19:06:45,Pipistrellus pipistrellus
